Machine,Hashrate,hashrate_valable,Power,Algorithm,result
ElphaPex DG 1+,14000000000000,14.0 Th/s,3920,LTC,20.69
Goldshell AL BOX II Plus,1000000000000,1.0 Th/s,360,LTC,1.38
VolcMiner D1,17000000000000,17.0 Th/s,3900,LTC,26.16
Bitmain KS5,20000000000000,20.0 Th/s,3000,KAS,8.04
ElphaPex DG,11000000000000,11.0 Th/s,3420,LTC,15.85
Bitmain Antminer AL1 Pro,16600000000000,16.6 Th/s,3730,LTC,25.64
Whatsminer M30S,96000000000000,96.0 Th/s,3290,BTC,0.86
Bitmain Antminer AL1,15600000000000,15.6 Th/s,3510,LTC,24.09
Bitmain Antminer S19,90000000000000,90.0 Th/s,2967,BTC,0.95
Bitmain Antminer L7 (9.16Gh),9160000000,9.16 Gh/s,3420,ALPH,16.50
Goldshell E-AL1M,4400000000000,4.4 Th/s,1800,LTC,5.82
Bitmain Antminer S19K PRO,120000000000000,120.0 Th/s,2760,BTC,2.70
Bitmain S19 Hydro,184000000000000,184.0 Th/s,5345.6,BTC,2.81
Antminer S19 XP Hyd,255000000000000,255.0 Th/s,5304,BTC,6.41
Bitmain Antminer L7 (9.05Gh),9050000000,9.05 Gh/s,3420,ALPH,16.25
Bitmain Antminer S21e XP Hyd 3U,860000000000000,860.0 Th/s,11180,BTC,29.68
Bitmain S21 XP 270T BTC MINER,270000000000000,270.0 Th/s,3650,BTC,9.15
Bitmain S19XP 134T,134000000000000,134.0 Th/s,3010,BTC,3.10
Bitmain S19XP 141T,141000000000000,141.0 Th/s,3010,BTC,3.45
Bitmain T21 Triphasé,190000000000000,190.0 Th/s,3600,BTC,5.20
Bitmain S21,195000000000000,195.0 Th/s,3400,BTC,5.69
Bitmain Antminer L9 (17Gh/s),17000000000,17.0 Gh/s,3260,ALPH,34.33
Avalon A1166 PRO 81T,81000000000000,81.0 Th/s,3400,BTC,-0.02
Bitmain KS5 PRO,21000000000000,21.0 Th/s,3150,KAS,8.45
VolcMiner D1,17000000000,17.0 Gh/s,3900,ALPH,33.56
Avalon 1246 85T,85000000000000,85.0 Th/s,3420,BTC,0.16
Iceriver KS0 ULTRA ,400000000000,400.0 Gh/s,100,KAS,0.11
Goldshell AL-BOX II,720000000000,720.0 Gh/s,360,LTC,0.87
IceRiver KS5L,12000000000000,12.0 Th/s,3400,KAS,2.91
Bitmain Antminer L7 (9.3Gh),9300000000,9.3 Gh/s,3420,ALPH,16.82
Bitmain Antminer L7 (8.8Gh),8800000000,8.8 Gh/s,3420,ALPH,15.69
Avalon 1266 96T,96000000000000,96.0 Th/s,3420,BTC,0.71
IceRiver AL3,15000000000000,15.0 Th/s,3500,LTC,23.01
Whatsminer M50 118T,118000000000000,118.0 Th/s,3306,BTC,1.95
Bitmain Antminer L7 (9.5Gh),9500000000,9.5 Gh/s,3420,ALPH,17.27
Bitmain Antminer L9 (16Gh/s),16000000000,16.0 Gh/s,3350,ALPH,31.97
Whatsminer M30 100T,100000000000000,100.0 Th/s,3400,BTC,0.93
Goldshell KA BOX,180000000000,180.0 Gh/s,400,KAS,-0.38
